,ruck_num,which_side,shoot_position,time_log,x,y,group_num,num_of_groups,lamp_num,num_of_lamps,color,LF
0,output,L,0,20201119111513,310,259,0,6,0,1,green,F
1,output,L,0,20201119111513,381,252,1,6,0,1,green,F
2,output,L,0,20201119111513,463,251,2,6,0,1,green,F
3,output,L,0,20201119111513,526,113,3,6,0,9,other,F
4,output,L,0,20201119111513,572,159,3,6,1,9,other,L
5,output,L,0,20201119111513,639,237,3,6,2,9,green,F
6,output,L,0,20201119111513,733,235,3,6,3,9,green,F
7,output,L,0,20201119111513,828,234,3,6,4,9,green,F
8,output,L,0,20201119111513,1034,229,3,6,5,9,green,F
9,output,L,0,20201119111513,1131,233,3,6,6,9,green,F
10,output,L,0,20201119111513,1239,229,3,6,7,9,green,F
11,output,L,0,20201119111513,1478,211,3,6,8,9,green,F
12,output,L,0,20201119111513,322,702,4,6,0,9,other,F
13,output,L,0,20201119111513,395,708,4,6,1,9,green,F
14,output,L,0,20201119111513,638,726,4,6,2,9,green,F
15,output,L,0,20201119111513,728,729,4,6,3,9,green,F
16,output,L,0,20201119111513,823,735,4,6,4,9,green,F
17,output,L,0,20201119111513,1019,742,4,6,5,9,green,F
18,output,L,0,20201119111513,1114,742,4,6,6,9,green,F
19,output,L,0,20201119111513,1208,743,4,6,7,9,green,F
20,output,L,0,20201119111513,1411,748,4,6,8,9,green,F
21,output,L,0,20201119111513,355,1092,5,6,0,1,green,F
22,output,L,1,20201119111615,319,433,0,6,0,1,green,F
23,output,L,1,20201119111615,388,431,1,6,0,3,green,L
24,output,L,1,20201119111615,1226,432,1,6,1,3,green,F
25,output,L,1,20201119111615,1438,432,1,6,2,3,green,L
26,output,L,1,20201119111615,467,430,2,6,0,1,green,L
27,output,L,1,20201119111615,641,426,3,6,0,3,green,L
28,output,L,1,20201119111615,1033,427,3,6,1,3,green,L
29,output,L,1,20201119111615,1131,430,3,6,2,3,green,L
30,output,L,1,20201119111615,732,425,4,6,0,2,green,L
31,output,L,1,20201119111615,828,426,4,6,1,2,green,L
32,output,L,1,20201119111615,342,858,5,6,0,10,green,F
33,output,L,1,20201119111615,408,871,5,6,1,10,green,F
34,output,L,1,20201119111615,484,875,5,6,2,10,green,F
35,output,L,1,20201119111615,648,896,5,6,3,10,green,F
36,output,L,1,20201119111615,734,901,5,6,4,10,green,F
37,output,L,1,20201119111615,823,910,5,6,5,10,green,F
38,output,L,1,20201119111615,1011,919,5,6,6,10,green,F
39,output,L,1,20201119111615,1104,920,5,6,7,10,green,F
40,output,L,1,20201119111615,1196,921,5,6,8,10,green,F
41,output,L,1,20201119111615,1403,935,5,6,9,10,green,F
42,output,L,2,20201119111717,320,148,0,8,0,1,green,F
43,output,L,2,20201119111717,394,142,1,8,0,1,green,F
44,output,L,2,20201119111717,478,139,2,8,0,1,green,F
45,output,L,2,20201119111717,657,124,3,8,0,1,green,F
46,output,L,2,20201119111717,750,120,4,8,0,1,green,F
47,output,L,2,20201119111717,1154,103,5,8,0,1,green,F
48,output,L,2,20201119111717,329,599,6,8,0,10,green,L
49,output,L,2,20201119111717,402,604,6,8,1,10,green,F
50,output,L,2,20201119111717,473,608,6,8,2,10,green,F
51,output,L,2,20201119111717,649,612,6,8,3,10,green,F
52,output,L,2,20201119111717,740,615,6,8,4,10,green,F
53,output,L,2,20201119111717,833,618,6,8,5,10,green,F
54,output,L,2,20201119111717,1033,623,6,8,6,10,green,F
55,output,L,2,20201119111717,1130,625,6,8,7,10,green,F
56,output,L,2,20201119111717,1227,626,6,8,8,10,green,F
57,output,L,2,20201119111717,1431,629,6,8,9,10,green,F
58,output,L,2,20201119111717,356,1006,7,8,0,7,green,L
59,output,L,2,20201119111717,430,1011,7,8,1,7,green,L
60,output,L,2,20201119111717,500,1024,7,8,2,7,green,L
61,output,L,2,20201119111717,658,1041,7,8,3,7,green,L
62,output,L,2,20201119111717,1004,1070,7,8,4,7,green,L
63,output,L,2,20201119111717,1095,1078,7,8,5,7,green,L
64,output,L,2,20201119111717,1184,1079,7,8,6,7,green,L
65,output,L,3,20201119111819,322,323,0,8,0,1,green,L
66,output,L,3,20201119111819,402,320,1,8,0,1,green,L
67,output,L,3,20201119111819,476,313,2,8,0,1,green,L
68,output,L,3,20201119111819,653,305,3,8,0,1,green,L
69,output,L,3,20201119111819,747,302,4,8,0,4,green,L
70,output,L,3,20201119111819,1045,303,4,8,1,4,green,L
71,output,L,3,20201119111819,1145,303,4,8,2,4,green,L
72,output,L,3,20201119111819,1242,305,4,8,3,4,green,L
73,output,L,3,20201119111819,842,302,5,8,0,1,green,L
74,output,L,3,20201119111819,1479,292,6,8,0,1,green,L
75,output,L,3,20201119111819,343,760,7,8,0,9,green,F
76,output,L,3,20201119111819,412,768,7,8,1,9,green,F
77,output,L,3,20201119111819,488,774,7,8,2,9,green,F
78,output,L,3,20201119111819,657,786,7,8,3,9,green,F
79,output,L,3,20201119111819,744,793,7,8,4,9,green,F
80,output,L,3,20201119111819,835,796,7,8,5,9,green,L
81,output,L,3,20201119111819,1028,804,7,8,6,9,green,F
82,output,L,3,20201119111819,1211,805,7,8,7,9,green,L
83,output,L,3,20201119111819,1424,817,7,8,8,9,green,F
84,output,L,4,20201119111921,333,488,0,5,0,5,green,L
85,output,L,4,20201119111921,1047,490,0,5,1,5,green,L
86,output,L,4,20201119111921,1146,492,0,5,2,5,green,F
87,output,L,4,20201119111921,1241,493,0,5,3,5,green,L
88,output,L,4,20201119111921,1454,494,0,5,4,5,green,F
89,output,L,4,20201119111921,407,488,1,5,0,1,green,F
90,output,L,4,20201119111921,483,487,2,5,0,1,green,F
91,output,L,4,20201119111921,658,486,3,5,0,2,green,L
92,output,L,4,20201119111921,847,487,3,5,1,2,green,L
93,output,L,4,20201119111921,751,486,4,5,0,1,green,L
94,output,R,0,20201119111513,195,177,0,4,0,3,green,F
95,output,R,0,20201119111513,1146,235,0,4,1,3,green,L
96,output,R,0,20201119111513,1186,238,0,4,2,3,green,L
97,output,R,0,20201119111513,1017,147,1,4,0,1,green,L
98,output,R,0,20201119111513,147,683,2,4,0,3,green,F
99,output,R,0,20201119111513,1103,717,2,4,1,3,green,L
100,output,R,0,20201119111513,1140,714,2,4,2,3,green,L
101,output,R,0,20201119111513,240,683,3,4,0,1,green,F
102,output,R,1,20201119111615,123,379,0,3,0,4,green,L
103,output,R,1,20201119111615,226,382,0,3,1,4,green,L
104,output,R,1,20201119111615,1137,430,0,3,2,4,green,L
105,output,R,1,20201119111615,1173,429,0,3,3,4,green,L
106,output,R,1,20201119111615,171,854,1,3,0,3,green,F
107,output,R,1,20201119111615,1092,879,1,3,1,3,green,L
108,output,R,1,20201119111615,1127,874,1,3,2,3,green,L
109,output,R,1,20201119111615,261,852,2,3,0,1,green,F
110,output,R,2,20201119111717,1173,100,0,4,0,2,green,L
111,output,R,2,20201119111717,1214,102,0,4,1,2,green,L
112,output,R,2,20201119111717,150,568,1,4,0,4,green,F
113,output,R,2,20201119111717,247,570,1,4,1,4,green,F
114,output,R,2,20201119111717,1126,606,1,4,2,4,green,L
115,output,R,2,20201119111717,1160,604,1,4,3,4,green,L
116,output,R,2,20201119111717,186,1013,2,4,0,3,green,L
117,output,R,2,20201119111717,1082,1026,2,4,1,3,green,L
118,output,R,2,20201119111717,1118,1021,2,4,2,3,green,L
119,output,R,2,20201119111717,276,1011,3,4,0,1,green,L
120,output,R,3,20201119111819,116,240,0,3,0,4,green,L
121,output,R,3,20201119111819,221,246,0,3,1,4,green,F
122,output,R,3,20201119111819,1161,303,0,3,2,4,green,L
123,output,R,3,20201119111819,1202,305,0,3,3,4,green,L
124,output,R,3,20201119111819,176,738,1,3,0,4,green,F
125,output,R,3,20201119111819,353,740,1,3,1,4,green,L
126,output,R,3,20201119111819,1113,772,1,3,2,4,green,L
127,output,R,3,20201119111819,1147,767,1,3,3,4,green,L
128,output,R,3,20201119111819,270,737,2,3,0,1,green,F
129,output,R,4,20201119111921,155,445,0,1,0,4,green,F
130,output,R,4,20201119111921,252,447,0,1,1,4,green,F
131,output,R,4,20201119111921,1150,493,0,1,2,4,green,L
132,output,R,4,20201119111921,1186,494,0,1,3,4,green,L
